,SKYW US Equity,SKYW US Equity,SKYW US Equity,SKYW US Equity,SKYW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,44.2917,44.8985,43.5418,43.8772,245545.0
2019-01-02,42.6834,44.8935,42.6834,44.8146,344358.0
2019-01-03,44.2719,44.2719,42.1506,42.8116,157538.0
2019-01-04,43.4924,45.2389,43.4628,44.3509,210336.0
2019-01-05,43.4924,45.2389,43.4628,44.3509,210336.0
2019-01-06,43.4924,45.2389,43.4628,44.3509,210336.0
2019-01-07,44.3311,44.9527,43.966,44.6469,183788.0
2019-01-08,45.0317,46.265,44.6074,46.2157,335319.0
2019-01-09,46.2157,47.7943,45.8901,47.5674,286614.0
2019-01-10,46.7583,48.7317,45.2171,48.6823,263802.0
2019-01-11,48.2679,48.3271,47.1431,47.3997,373199.0
2019-01-12,48.2679,48.3271,47.1431,47.3997,373199.0
2019-01-13,48.2679,48.3271,47.1431,47.3997,373199.0
2019-01-14,46.9557,47.0839,46.0158,46.7879,166123.0
2019-01-15,47.005,47.4983,45.8407,46.2157,146120.0
2019-01-16,46.5709,47.6463,46.5709,47.0445,312179.0
2019-01-17,46.8965,48.0114,46.6991,47.8437,230525.0
2019-01-18,48.1298,49.3631,47.3602,48.929,347755.0
2019-01-19,48.1298,49.3631,47.3602,48.929,347755.0
2019-01-20,48.1298,49.3631,47.3602,48.929,347755.0
2019-01-21,48.1298,49.3631,47.3602,48.929,347755.0
2019-01-22,48.7909,49.5309,47.4589,47.8338,244842.0
2019-01-23,48.1199,48.8599,46.9853,47.0642,143226.0
2019-01-24,47.3503,48.0433,46.9853,47.5871,153001.0
2019-01-25,48.0213,48.5985,47.4095,47.9226,143745.0
2019-01-26,48.0213,48.5985,47.4095,47.9226,143745.0
2019-01-27,48.0213,48.5985,47.4095,47.9226,143745.0
2019-01-28,47.6463,49.5407,47.5378,49.1855,279896.0
2019-01-29,49.3829,49.8367,48.9734,49.1559,159724.0
2019-01-30,49.2645,50.5866,48.5442,50.2906,188212.0
2019-01-31,49.9551,50.6063,49.077,50.2709,295212.0
2019-02-01,52.0962,54.0696,51.0503,51.1293,500460.0
2019-02-02,52.0962,54.0696,51.0503,51.1293,500460.0
2019-02-03,52.0962,54.0696,51.0503,51.1293,500460.0
2019-02-04,51.7015,51.9975,50.8629,51.6522,210618.0
2019-02-05,51.6522,52.1751,51.0997,51.8791,382234.0
2019-02-06,52.3232,52.9152,51.9581,52.0271,177581.0
2019-02-07,52.2541,54.1534,52.2541,53.8722,290275.0
2019-02-08,53.6946,54.1978,52.3134,53.0632,215424.0
2019-02-09,53.6946,54.1978,52.3134,53.0632,215424.0
2019-02-10,53.6946,54.1978,52.3134,53.0632,215424.0
2019-02-11,53.1125,54.035,53.1125,53.5861,207696.0
2019-02-12,53.8229,54.9082,53.522,53.9906,212211.0
2019-02-13,53.9906,54.7997,53.9906,54.2373,206033.0
2019-02-14,53.744,55.668,53.7251,55.4016,297374.0
2019-02-15,55.52,55.9442,54.5629,54.9378,235117.0
2019-02-16,55.52,55.9442,54.5629,54.9378,235117.0
2019-02-17,55.52,55.9442,54.5629,54.9378,235117.0
2019-02-18,55.52,55.9442,54.5629,54.9378,235117.0
2019-02-19,54.405,56.1613,54.2768,55.5101,209659.0
2019-02-20,55.2141,56.0232,54.81,55.1056,263471.0
2019-02-21,55.0957,55.3818,54.3162,54.5728,184714.0
2019-02-22,54.7109,55.4252,54.5629,55.0365,281582.0
2019-02-23,54.7109,55.4252,54.5629,55.0365,281582.0
2019-02-24,54.7109,55.4252,54.5629,55.0365,281582.0
2019-02-25,55.3818,55.7469,54.9132,55.293,189651.0
2019-02-26,55.0858,55.4805,54.4346,54.4445,235373.0
2019-02-27,54.3261,54.7109,52.8165,53.448,160892.0
2019-02-28,53.3986,53.6601,52.3429,53.3197,380763.0
2019-03-01,53.4776,53.6305,51.8989,52.185,271769.0
2019-03-02,53.4776,53.6305,51.8989,52.185,271769.0
2019-03-03,53.4776,53.6305,51.8989,52.185,271769.0
2019-03-04,52.2048,52.4613,51.0701,52.037,364653.0
2019-03-05,52.264,52.6685,51.2279,51.2477,296617.0
2019-03-06,51.2575,51.593,50.0143,50.0933,406994.0
2019-03-07,49.9749,49.9749,48.7543,49.1066,355380.0
2019-03-08,48.7218,49.7183,48.6873,49.3434,323219.0
2019-03-09,48.7218,49.7183,48.6873,49.3434,323219.0
2019-03-10,48.7218,49.7183,48.6873,49.3434,323219.0
2019-03-11,49.3434,50.0242,48.781,49.8762,414769.0
2019-03-12,49.8466,49.8762,49.048,49.3829,293273.0
2019-03-13,49.6098,50.7543,49.5999,50.409,620400.0
2019-03-14,50.261,51.149,50.261,50.7938,192417.0
2019-03-15,50.8629,51.7311,50.5669,50.8925,1116630.0
2019-03-16,50.8629,51.7311,50.5669,50.8925,1116630.0
2019-03-17,50.8629,51.7311,50.5669,50.8925,1116630.0
2019-03-18,50.9023,51.4549,50.5965,51.0405,282721.0
2019-03-19,51.149,52.1061,50.9911,51.0997,181470.0
2019-03-20,51.0997,51.7114,50.1525,51.0503,232459.0
2019-03-21,50.8037,52.5402,50.8037,52.3034,299881.0
2019-03-22,51.8397,51.8397,50.7346,50.9122,238872.0
2019-03-23,51.8397,51.8397,50.7346,50.9122,238872.0
2019-03-24,51.8397,51.8397,50.7346,50.9122,238872.0
2019-03-25,50.9615,51.7361,50.4633,51.001,211098.0
2019-03-26,51.2181,52.2738,50.9467,51.2181,236187.0
2019-03-27,51.3266,53.2704,51.3167,52.8658,225972.0
2019-03-28,53.2218,53.6916,51.9435,52.8065,151360.0
2019-03-29,53.1328,54.0822,53.0117,53.6866,320161.0
2019-03-30,53.1328,54.0822,53.0117,53.6866,320161.0
2019-03-31,53.1328,54.0822,53.0117,53.6866,320161.0
2019-04-01,53.8943,54.9326,53.4592,54.5667,201980.0
2019-04-02,54.9821,55.2491,54.2404,55.1007,177093.0
2019-04-03,55.3776,56.3269,55.2491,55.6644,151338.0
2019-04-04,55.6842,56.584,55.2293,56.4654,140313.0
2019-04-05,56.5939,57.7608,56.5939,57.4444,165044.0
2019-04-06,56.5939,57.7608,56.5939,57.4444,165044.0
2019-04-07,56.5939,57.7608,56.5939,57.4444,165044.0
2019-04-08,57.1774,57.563,56.7719,57.1774,183902.0
2019-04-09,56.9598,57.2367,56.0896,56.5346,232620.0
2019-04-10,56.5939,58.4382,55.1858,57.8795,283985.0
2019-04-11,58.0179,59.0365,57.741,58.1069,137542.0
2019-04-12,58.1762,58.364,57.4246,58.0476,300507.0
2019-04-13,58.1762,58.364,57.4246,58.0476,300507.0
2019-04-14,58.1762,58.364,57.4246,58.0476,300507.0
2019-04-15,58.275,58.898,57.4543,57.5729,115921.0
2019-04-16,58.0377,58.8387,57.8249,58.5717,123621.0
2019-04-17,59.0464,59.3332,58.3344,58.9772,218994.0
2019-04-18,58.8387,59.165,57.9092,58.5915,387025.0
2019-04-19,58.8387,59.165,57.9092,58.5915,387025.0
2019-04-20,58.8387,59.165,57.9092,58.5915,387025.0
2019-04-21,58.8387,59.165,57.9092,58.5915,387025.0
2019-04-22,58.1959,58.5816,57.8795,58.1465,174404.0
2019-04-23,58.1168,59.3233,57.9685,59.2145,171797.0
2019-04-24,59.3035,59.8276,58.7398,59.0563,227610.0
2019-04-25,58.9277,58.9969,57.207,57.7905,281246.0
2019-04-26,59.3035,59.966,55.4271,59.699,439687.0
2019-04-27,59.3035,59.966,55.4271,59.699,439687.0
2019-04-28,59.3035,59.966,55.4271,59.699,439687.0
2019-04-29,59.9562,61.0934,59.2074,60.9351,241970.0
2019-04-30,61.0538,61.4691,60.1638,60.9055,440421.0
2019-05-01,61.123,61.1379,59.4419,59.4617,362229.0
2019-05-02,59.3826,60.5143,57.3653,59.4815,114236.0
2019-05-03,59.7485,61.1774,59.7485,61.0934,212493.0
2019-05-04,59.7485,61.1774,59.7485,61.0934,212493.0
2019-05-05,59.7485,61.1774,59.7485,61.0934,212493.0
2019-05-06,59.9957,61.1033,59.351,60.8659,188100.0
2019-05-07,60.1341,60.2924,59.0464,59.8573,214439.0
2019-05-08,59.61,60.1243,58.9376,59.1156,142381.0
2019-05-09,58.5223,59.699,58.097,59.5507,125306.0
2019-05-10,59.2639,60.1292,58.0278,59.9957,122289.0
2019-05-11,59.2639,60.1292,58.0278,59.9957,122289.0
2019-05-12,59.2639,60.1292,58.0278,59.9957,122289.0
2019-05-13,58.8189,58.8189,57.5828,57.919,196013.0
2019-05-14,57.9784,58.5668,57.5136,58.3344,125112.0
2019-05-15,57.6916,58.7992,57.3504,58.4333,145732.0
2019-05-16,58.5519,59.4123,58.3146,58.9969,196559.0
2019-05-17,58.4728,59.7612,58.4135,58.9079,160387.0
2019-05-18,58.4728,59.7612,58.4135,58.9079,160387.0
2019-05-19,58.4728,59.7612,58.4135,58.9079,160387.0
2019-05-20,58.3146,58.9574,57.7015,58.4234,94492.0
2019-05-21,58.6508,59.9611,58.3443,59.7287,115084.0
2019-05-22,59.3925,59.4815,58.7102,58.7893,139353.0
2019-05-23,58.1366,59.0118,57.4246,58.5717,190790.0
2019-05-24,58.8684,59.521,58.7843,59.2837,104489.0
2019-05-25,58.8684,59.521,58.7843,59.2837,104489.0
2019-05-26,58.8684,59.521,58.7843,59.2837,104489.0
2019-05-27,58.8684,59.521,58.7843,59.2837,104489.0
2019-05-28,59.4123,60.0451,58.9623,59.1453,187444.0
2019-05-29,59.0266,59.076,58.2157,58.5915,286360.0
2019-05-30,58.7794,59.1237,58.1763,58.5618,285445.0
2019-05-31,57.8894,58.6508,57.7509,58.0674,438385.0
2019-06-01,57.8894,58.6508,57.7509,58.0674,438385.0
2019-06-02,57.8894,58.6508,57.7509,58.0674,438385.0
2019-06-03,57.8597,59.0068,57.2013,57.4345,235158.0
2019-06-04,58.1959,60.5989,58.1959,60.5495,212194.0
2019-06-05,60.7967,61.1131,59.788,59.9166,219231.0
2019-06-06,59.7089,60.4297,58.0476,59.0167,255438.0
2019-06-07,59.2936,60.7077,59.1848,59.6892,282631.0
2019-06-08,59.2936,60.7077,59.1848,59.6892,282631.0
2019-06-09,59.2936,60.7077,59.1848,59.6892,282631.0
2019-06-10,59.9067,60.7967,59.7485,59.8672,174955.0
2019-06-11,60.322,60.4506,58.631,58.8684,199420.0
2019-06-12,58.8882,59.1947,58.2256,58.5816,246611.0
2019-06-13,58.8387,60.322,58.4975,60.1341,178513.0
2019-06-14,59.9562,60.4215,59.0859,59.3233,152301.0
2019-06-15,59.9562,60.4215,59.0859,59.3233,152301.0
2019-06-16,59.9562,60.4215,59.0859,59.3233,152301.0
2019-06-17,59.2738,59.2738,57.7312,58.8189,252498.0
2019-06-18,59.1947,60.1737,58.6558,59.4419,156754.0
2019-06-19,59.4518,59.5903,58.8387,58.9673,141275.0
2019-06-20,59.4617,59.4963,58.0575,58.7794,224343.0
2019-06-21,58.4234,59.254,57.1972,57.3059,354008.0
2019-06-22,58.4234,59.254,57.1972,57.3059,354008.0
2019-06-23,58.4234,59.254,57.1972,57.3059,354008.0
2019-06-24,57.2466,57.2466,55.5655,56.0698,292796.0
2019-06-25,56.0402,56.7225,55.3776,55.4468,193627.0
2019-06-26,55.6545,56.5346,55.3974,56.3072,201973.0
2019-06-27,55.9603,57.7242,55.7026,57.5359,273779.0
2019-06-28,57.4368,60.4296,57.1694,60.1224,516344.0
2019-06-29,57.4368,60.4296,57.1694,60.1224,516344.0
2019-06-30,57.4368,60.4296,57.1694,60.1224,516344.0
2019-07-01,60.499,60.6575,59.3798,60.4296,349589.0
2019-07-02,60.6179,61.2224,59.9242,60.6674,300873.0
2019-07-03,60.9449,61.4404,60.4544,61.4206,75379.0
2019-07-04,60.9449,61.4404,60.4544,61.4206,75379.0
2019-07-05,60.9152,61.9359,59.9539,61.7476,150453.0
2019-07-06,60.9152,61.9359,59.9539,61.7476,150453.0
2019-07-07,60.9152,61.9359,59.9539,61.7476,150453.0
2019-07-08,61.4701,61.9953,61.2471,61.8269,184318.0
2019-07-09,61.5197,61.7426,61.1926,61.5296,140222.0
2019-07-10,62.0251,62.8277,60.6872,60.7368,221525.0
2019-07-11,60.8854,61.1332,59.1215,59.8548,303270.0
2019-07-12,60.0728,60.6872,59.4584,60.1918,296894.0
2019-07-13,60.0728,60.6872,59.4584,60.1918,296894.0
2019-07-14,60.0728,60.6872,59.4584,60.1918,296894.0
2019-07-15,60.2413,60.3701,59.072,59.29,201003.0
2019-07-16,59.5674,61.2224,59.5674,60.8656,131696.0
2019-07-17,60.6773,60.9449,59.726,59.7359,104439.0
2019-07-18,59.5873,60.2809,59.2206,60.162,127967.0
2019-07-19,59.9737,60.7616,59.0323,59.0323,195081.0
2019-07-20,59.9737,60.7616,59.0323,59.0323,195081.0
2019-07-21,59.9737,60.7616,59.0323,59.0323,195081.0
2019-07-22,59.0422,60.2116,59.0422,59.9242,111964.0
2019-07-23,60.0134,61.0044,60.0134,60.6674,184513.0
2019-07-24,60.3107,62.3223,60.2116,62.1142,124427.0
2019-07-25,61.2422,62.1043,60.271,60.5485,239006.0
2019-07-26,60.8656,61.3314,60.4197,61.1827,150871.0
2019-07-27,60.8656,61.3314,60.4197,61.1827,150871.0
2019-07-28,60.8656,61.3314,60.4197,61.1827,150871.0
2019-07-29,60.9647,61.4602,60.6674,61.2719,126891.0
2019-07-30,60.8062,61.9061,60.6174,61.7971,168712.0
2019-07-31,61.8863,62.3818,60.0827,60.162,292132.0
2019-08-01,62.7584,62.7584,59.5575,60.2017,242431.0
2019-08-02,59.7855,60.826,58.3089,58.8837,116892.0
2019-08-03,59.7855,60.826,58.3089,58.8837,116892.0
2019-08-04,59.7855,60.826,58.3089,58.8837,116892.0
2019-08-05,57.7143,57.7143,54.5424,55.5441,191544.0
2019-08-06,55.9405,56.7432,55.17,56.654,190264.0
2019-08-07,55.772,57.4071,55.772,57.2287,174608.0
2019-08-08,57.5161,58.0612,56.6936,57.2783,157100.0
2019-08-09,57.0405,57.8633,55.9484,56.317,320303.0
2019-08-10,57.0405,57.8633,55.9484,56.317,320303.0
2019-08-11,57.0405,57.8633,55.9484,56.317,320303.0
2019-08-12,55.881,56.0693,54.7711,55.0981,227197.0
2019-08-13,54.7018,56.3567,54.6324,55.3261,156526.0
2019-08-14,54.5036,54.9155,53.2549,53.7405,145839.0
2019-08-15,53.7009,54.2023,53.0171,53.2351,176280.0
2019-08-16,53.7603,55.227,53.5374,55.1279,121168.0
2019-08-17,53.7603,55.227,53.5374,55.1279,121168.0
2019-08-18,53.7603,55.227,53.5374,55.1279,121168.0
2019-08-19,55.9306,56.6143,55.4549,56.4855,165943.0
2019-08-20,56.1288,56.1288,53.7306,55.4252,195419.0
2019-08-21,56.1684,56.7035,55.5936,56.3864,116816.0
2019-08-22,56.7035,57.1217,55.5342,55.8017,114039.0
2019-08-23,55.554,56.0792,53.5522,53.7603,172002.0
2019-08-24,55.554,56.0792,53.5522,53.7603,172002.0
2019-08-25,55.554,56.0792,53.5522,53.7603,172002.0
2019-08-26,54.7117,54.9792,53.8396,54.4045,180902.0
2019-08-27,54.9198,55.3756,53.1558,53.3144,186385.0
2019-08-28,53.3045,55.445,53.2549,54.6918,268444.0
2019-08-29,55.5441,56.8175,55.3657,56.6044,113907.0
2019-08-30,56.9513,57.5657,56.5499,56.7432,224758.0
2019-08-31,56.9513,57.5657,56.5499,56.7432,224758.0
2019-09-01,56.9513,57.5657,56.5499,56.7432,224758.0
2019-09-02,56.9513,57.5657,56.5499,56.7432,224758.0
2019-09-03,56.3468,56.8324,55.0783,55.7125,247060.0
2019-09-04,56.3369,56.9314,55.663,55.6927,207457.0
2019-09-05,56.6044,58.4377,56.5351,56.5945,263328.0
2019-09-06,57.0801,57.1049,56.2774,56.4558,119277.0
2019-09-07,57.0801,57.1049,56.2774,56.4558,119277.0
2019-09-08,57.0801,57.1049,56.2774,56.4558,119277.0
2019-09-09,56.5747,57.7143,56.436,57.6449,206586.0
2019-09-10,57.5558,58.9481,56.9017,58.8539,196999.0
2019-09-11,58.9729,60.7368,58.5269,60.3404,190943.0
2019-09-12,60.3503,60.4494,58.8638,59.7359,259290.0
2019-09-13,60.3899,61.8664,59.9341,61.6584,190393.0
2019-09-14,60.3899,61.8664,59.9341,61.6584,190393.0
2019-09-15,60.3899,61.8664,59.9341,61.6584,190393.0
2019-09-16,60.2512,60.9548,58.735,58.9729,321239.0
2019-09-17,58.5963,59.1636,57.635,58.7053,185267.0
2019-09-18,58.7747,59.1512,57.5855,59.0224,275214.0
2019-09-19,59.1017,59.8945,57.9621,58.6954,193334.0
2019-09-20,59.2404,59.2999,57.744,58.1107,604108.0
2019-09-21,59.2404,59.2999,57.744,58.1107,604108.0
2019-09-22,59.2404,59.2999,57.744,58.1107,604108.0
2019-09-23,57.744,57.972,56.3666,57.3377,238740.0
2019-09-24,57.6449,58.1107,56.872,57.1891,175514.0
2019-09-25,57.1891,58.626,57.1891,58.3684,153002.0
2019-09-26,58.1503,58.3386,57.5855,58.081,110561.0
2019-09-27,58.2696,58.7761,56.4921,56.7305,157530.0
2019-09-28,58.2696,58.7761,56.4921,56.7305,157530.0
2019-09-29,58.2696,58.7761,56.4921,56.7305,157530.0
2019-09-30,57.1575,57.6837,56.7305,56.9986,331753.0
2019-10-01,57.1972,58.3491,55.7375,56.0552,194884.0
2019-10-02,55.37,56.5418,53.9103,55.4892,247009.0
2019-10-03,55.1218,55.6679,53.9302,54.6948,131449.0
2019-10-04,54.7147,55.7077,54.6352,55.2211,117924.0
2019-10-05,54.7147,55.7077,54.6352,55.2211,117924.0
2019-10-06,54.7147,55.7077,54.6352,55.2211,117924.0
2019-10-07,54.9629,55.6977,54.5856,55.231,128209.0
2019-10-08,54.6352,55.1814,54.2231,54.377,131374.0
2019-10-09,54.8934,55.38,54.4763,54.4863,175991.0
2019-10-10,54.4168,55.1317,54.1288,54.8537,149087.0
2019-10-11,55.6977,56.6808,55.1814,55.2906,193960.0
2019-10-12,55.6977,56.6808,55.1814,55.2906,193960.0
2019-10-13,55.6977,56.6808,55.1814,55.2906,193960.0
2019-10-14,55.0424,56.1467,54.9728,55.5438,249237.0
2019-10-15,55.8665,57.0383,55.5389,56.3631,271380.0
2019-10-16,56.3631,56.656,55.8417,56.1545,189027.0
2019-10-17,56.2836,56.4872,55.5935,56.1942,184183.0
2019-10-18,55.9857,56.5418,55.6282,56.3531,172735.0
2019-10-19,55.9857,56.5418,55.6282,56.3531,172735.0
2019-10-20,55.9857,56.5418,55.6282,56.3531,172735.0
2019-10-21,56.8993,58.0611,56.7553,57.5944,215416.0
2019-10-22,57.4752,58.6072,56.7801,58.2597,202506.0
2019-10-23,58.1207,58.6271,57.8327,58.2398,116560.0
2019-10-24,58.6768,59.0541,57.2121,57.3362,122965.0
2019-10-25,57.1575,58.9449,57.1475,58.6172,108175.0
2019-10-26,57.1575,58.9449,57.1475,58.6172,108175.0
2019-10-27,57.1575,58.9449,57.1475,58.6172,108175.0
2019-10-28,58.7562,59.5804,58.6271,58.925,173066.0
2019-10-29,58.6072,59.5109,58.498,58.647,160726.0
2019-10-30,58.2498,58.9151,57.7632,58.7959,157186.0
2019-10-31,59.5804,60.2556,57.8824,59.1335,339909.0
2019-11-01,59.4811,59.711,58.5079,59.0243,200251.0
2019-11-02,59.4811,59.711,58.5079,59.0243,200251.0
2019-11-03,59.4811,59.711,58.5079,59.0243,200251.0
2019-11-04,59.6499,61.06,59.5804,61.0302,235107.0
2019-11-05,61.338,63.2446,60.9607,62.4005,272827.0
2019-11-06,62.1423,62.8871,61.6955,62.0828,270108.0
2019-11-07,62.3608,62.758,61.5068,62.7481,250179.0
2019-11-08,62.6686,62.8077,62.0558,62.7084,167303.0
2019-11-09,62.6686,62.8077,62.0558,62.7084,167303.0
2019-11-10,62.6686,62.8077,62.0558,62.7084,167303.0
2019-11-11,62.1225,62.6438,61.7451,62.1324,134375.0
2019-11-12,62.1423,62.4998,61.7253,62.4105,177395.0
2019-11-13,62.0629,62.8077,61.7077,62.6091,204552.0
2019-11-14,62.6389,62.758,61.5664,62.0033,152993.0
2019-11-15,62.4204,62.6091,61.5565,62.0033,221029.0
2019-11-16,62.4204,62.6091,61.5565,62.0033,221029.0
2019-11-17,62.4204,62.6091,61.5565,62.0033,221029.0
2019-11-18,61.9437,62.0629,61.2776,61.5565,113054.0
2019-11-19,61.8147,62.2615,61.3579,61.765,158425.0
2019-11-20,61.5565,62.0232,60.8912,61.3777,263148.0
2019-11-21,61.5267,61.5267,60.4741,60.6429,168800.0
2019-11-22,60.9408,61.3281,60.5237,61.2586,159337.0
2019-11-23,60.9408,61.3281,60.5237,61.2586,159337.0
2019-11-24,60.9408,61.3281,60.5237,61.2586,159337.0
2019-11-25,61.3777,63.5524,61.0798,63.3935,270950.0
2019-11-26,63.185,64.1184,62.8389,63.8603,294642.0
2019-11-27,63.9893,64.1433,63.2446,63.4829,107418.0
2019-11-28,63.9893,64.1433,63.2446,63.4829,107418.0
2019-11-29,63.2049,63.7808,61.909,62.2019,93947.0
2019-11-30,63.2049,63.7808,61.909,62.2019,93947.0
2019-12-01,63.2049,63.7808,61.909,62.2019,93947.0
2019-12-02,62.5098,62.6885,61.3877,61.7948,200560.0
2019-12-03,61.1791,61.8444,60.2407,60.8614,218337.0
2019-12-04,60.9507,61.9884,60.9507,61.6161,211820.0
2019-12-05,61.7253,61.8444,61.0798,61.4175,221290.0
2019-12-06,62.2516,63.2049,62.2516,62.8474,184205.0
2019-12-07,62.2516,63.2049,62.2516,62.8474,184205.0
2019-12-08,62.2516,63.2049,62.2516,62.8474,184205.0
2019-12-09,62.5296,62.9765,62.3112,62.5892,262868.0
2019-12-10,62.6984,63.1403,61.8444,62.5296,233619.0
